mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3746243953704834,0.051561622091134914,0.02363409996032715,0.004736856758358122,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8041958041958042,0.7482517482517482,0.8098591549295775,0.7887323943661971,0.8380281690140845,0.7978134541514823,0.02946823689778442,105
0.08593692779541015,0.009097912707337093,0.008115720748901368,0.002868769003995567,20,1,5,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.8041958041958042,0.7762237762237763,0.8169014084507042,0.7887323943661971,0.8450704225352113,0.8062247611543386,0.02380392767844291,102
0.2006840705871582,0.034692394818628805,0.01402750015258789,0.003279637411661501,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8111888111888111,0.7902097902097902,0.8309859154929577,0.7816901408450704,0.852112676056338,0.8132374667585935,0.025907504625470007,93
0.378354549407959,0.04375413862084434,0.02766838073730469,0.007888215336214881,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8111888111888111,0.7832167832167832,0.823943661971831,0.7887323943661971,0.8380281690140845,0.8090219639515415,0.020718524163659633,95
0.08544692993164063,0.00956963981437442,0.007491779327392578,0.0012838804701858853,20,1,10,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.8111888111888111,0.8251748251748252,0.8028169014084507,0.8169014084507042,0.8380281690140845,0.818822023047375,0.01206111719658269,80
0.17424817085266114,0.017877847012998986,0.0164431095123291,0.006711387793846431,20,1,10,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8321678321678322,0.8251748251748252,0.8098591549295775,0.8028169014084507,0.8309859154929577,0.8202009258347287,0.011776409083136105,74
0.3598520755767822,0.04968036937131052,0.02652087211608887,0.010576378172487359,20,1,10,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8251748251748252,0.8321678321678322,0.8098591549295775,0.8028169014084507,0.8450704225352113,0.8230178272431793,0.015204737754722381,58
0.1014317512512207,0.019183782199240492,0.007462692260742187,0.0017041456531419897,20,2,2,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8251748251748252,0.8111888111888111,0.8028169014084507,0.795774647887324,0.8380281690140845,0.814596670934699,0.015268120245185602,90
0.17457208633422852,0.01582829194512484,0.013202047348022461,0.003009676423248231,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8251748251748252,0.8251748251748252,0.8028169014084507,0.8098591549295775,0.852112676056338,0.8230276765488032,0.016953130001316333,57
0.46966090202331545,0.048215662589376186,0.028075122833251955,0.004687585169160776,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8181818181818182,0.8251748251748252,0.795774647887324,0.8098591549295775,0.8380281690140845,0.8174037230375258,0.014220412315474171,84
